"# ","Player ","Team ","Mat ","Inns ","NO ","Runs ","4's ","6's ","50's ","100's ","HS ","SR ","Avg "
"63","Shehan Jayasuriya","Silicon Valley Strikers","7","7","0","126","8","8","0","0","49","129.90","18.00"
"64","Ujjwal Vinnakota","St. Louis Americans","7","6","2","125","13","8","1","0","56","201.61","31.25"
"65","Jacobus Pienaar","Baltimore Royals","5","5","1","124","12","6","1","0","88","155.00","31.00"
"66","Rameez Raja","Chicago Kingsmen","7","6","1","123","13","4","1","0","52","121.78","24.60"
"67","Kunwarjeet Singh","Baltimore Royals","3","3","0","123","9","5","1","0","90","109.82","41.00"
"68","Adithya Ganesh","East Bay Blazers","8","6","3","123","7","3","0","0","48","100.00","41.00"
"69","Dominique Rikhi","New Jersey Stallions","7","7","0","121","14","3","1","0","64","126.04","17.29"
"70","Sunny Patel","Atlanta Lightning","7","6","1","118","5","8","1","0","50","132.58","23.60"
"71","Usman Ghani","East Bay Blazers","6","6","0","116","8","7","0","0","37","99.15","19.33"
"72","Danesh Patel","Manhattan Yorkers","8","8","0","115","14","0","0","0","35","85.19","14.38"
"73","Kamran Hotak","Silicon Valley Strikers","7","7","0","114","10","2","0","0","45","100.00","16.29"
"74","Mittansh Nithiyanandam","Chicago Tigers","7","7","0","114","11","4","0","0","47","95.80","16.29"
"75","Sahil Garg","Golden State Grizzlies","8","8","1","113","5","5","0","0","31","98.26","16.14"
"76","Gaurav bajaj","Dallas Xforia Giants","7","5","1","112","14","1","0","0","40","103.70","28.00"
"77","Lahiru Milantha","Houston Hurricanes","4","4","0","108","11","5","0","0","38","156.52","27.00"
"78","Rohan Mustafa","New Jersey Stallions","3","3","1","108","6","6","0","0","46","117.39","54.00"
"79","Tarun Adada","Golden State Grizzlies","6","6","0","107","6","11","0","0","47","118.89","17.83"
"80","Sohan Bhat","Golden State Grizzlies","8","8","3","107","6","4","0","0","27","98.17","21.40"
"81","Shashwat Kohli","Seattle Thunderbolts","8","6","0","106","15","0","0","0","32","110.42","17.67"
"82","Trevon Griffith","Morrisville Raptors","5","5","0","105","6","7","1","0","50","132.91","21.00"
"83","Muhammad Usman","Lone Star Athletics","4","4","1","105","10","2","0","0","44","101.94","35.00"
"84","Mohit Nataraj","Golden State Grizzlies","6","6","0","103","7","7","0","0","43","177.59","17.17"
"85","Jay Desai","Chicago Tigers","7","7","1","100","11","2","0","0","40","99.01","16.67"
"86","Md Farhad Reza","New Jersey Stallions","6","6","1","99","6","7","0","0","27","116.47","19.80"
"87","Rishikesh Bodugum","New England Eagles","6","6","0","96","11","1","0","0","35","89.72","16.00"
"88","Apurva Maheshram","New England Eagles","8","8","0","95","10","5","0","0","37","130.14","11.88"
"89","Matthew Tromp","Houston Hurricanes","7","7","2","93","4","6","0","0","47","113.41","18.60"
"90","Nirmith Shashidhar","Manhattan Yorkers","5","5","2","93","9","2","0","0","41","97.89","31.00"
"91","Munir Kakar","St. Louis Americans","5","4","0","92","10","4","0","0","47","158.62","23.00"
"92","Chaitanya Bishnoi","Dallas Xforia Giants","7","7","2","92","10","3","0","0","28","113.58","18.40"
"93","Mark Parchment","Atlanta Lightning","8","8","2","89","5","5","0","0","26","100.00","14.83"
"94","Mario Rampersaud","Ft. Lauderdale Lions","5","3","1","87","8","4","1","0","53","145.00","43.50"
"95","Hanchard Hamilton","Atlanta Fire","4","4","0","87","6","4","0","0","37","89.69","21.75"
"96","Clinton Pestano","Ft. Lauderdale Lions","6","6","2","83","6","3","0","0","37","116.90","20.75"
"97","Sharad Lumba","Baltimore Royals","4","4","1","82","8","2","1","0","52","110.81","27.33"
"98","Akeem Dodson","Orlando Galaxy","4","4","0","82","7","2","0","0","34","97.62","20.50"
"99","John Campbell","Morrisville Raptors","5","5","0","80","5","5","0","0","40","129.03","16.00"
"100","Kevin Stoute","Ft. Lauderdale Lions","3","3","1","80","7","2","1","0","54","106.67","40.00"
"101","Adil Bhatti","New Jersey Somerset Cavaliers","5","4","0","80","7","3","0","0","48","94.12","20.00"
"102","Zia Muhammad Shahzad","Atlanta Fire","8","8","1","79","3","5","0","0","24","100.00","11.29"
"103","Shashank Krishnamurthy","NYC Titans","5","5","2","78","5","4","0","0","28","93.98","26.00"
"104","Arnav Jhamb","St. Louis Americans","7","7","0","77","6","2","0","0","43","74.04","11.00"
"105","Abhishek Paradkar","East Bay Blazers","8","6","1","76","5","4","0","0","24","110.14","15.20"
"106","Deep Patel","Manhattan Yorkers","6","6","1","75","5","2","0","0","46","97.40","15.00"
"107","Siddhant Pillai","NYC Titans","7","5","2","75","6","2","0","0","39","78.12","25.00"
"108","Ravendra Persaud","Ft. Lauderdale Lions","6","6","0","74","6","3","0","0","29","154.17","12.33"
"109","Romario King","Orlando Galaxy","3","3","0","74","2","5","0","0","35","100.00","24.67"
"110","Milind Kumar","Lone Star Athletics","2","2","1","73","8","1","1","0","60","135.19","73.00"
"111","Elmore Hutchinson","Los Angeles Lashings","7","6","1","73","3","6","0","0","33","135.19","14.60"
"112","Nisarulhaq Wahdat","St. Louis Americans","6","5","1","73","8","1","0","0","38","94.81","18.25"
"113","Abhimanyu Lamba","St. Louis Americans","7","5","3","71","8","3","0","0","32","154.35","35.50"
"114","Amit Patil","New England Eagles","4","4","0","70","2","4","0","0","44","88.61","17.50"
"115","Vikash Mohan","East Bay Blazers","8","7","1","69","4","4","0","0","38","98.57","11.50"
"116","Hiren Patel","New Jersey Stallions","8","7","1","69","4","4","0","0","24","92.00","11.50"
"117","Arjun Vajjalla","New Jersey Stallions","8","5","0","68","4","5","0","0","26","147.83","13.60"
"118","Christopher Barnwell","Morrisville Raptors","5","5","1","67","3","2","0","0","45","90.54","16.75"
"119","Raj Nannan","Morrisville Raptors","5","5","1","66","4","2","0","0","26","100.00","16.50"
"120","Soaeb Tai","Atlanta Lightning","8","8","0","66","5","2","0","0","21","91.67","8.25"
"121","Rizwan Mazhar","New England Eagles","8","8","1","65","3","6","0","0","22","91.55","9.29"
"122","Vasudeva Reddy Mallepally","New England Eagles","5","5","1","62","2","4","0","0","27","103.33","15.50"
"123","Smit Patel","Lone Star Athletics","2","2","1","62","4","2","1","0","54","96.88","62.00"
"124","Aman Patel","New Jersey Stallions","5","5","0","62","5","3","0","0","36","96.88","12.40"
"125","Anshul Bisht","Chicago Kingsmen","4","3","1","61","6","2","0","0","43","98.39","30.50"
"126","Nikhil Dutta","San Diego Surf Riders","5","5","1","60","9","1","0","0","23","111.11","15.00"
"127","Mario Lobban","NYC Titans","8","6","1","60","3","4","0","0","23","89.55","12.00"
"128","Harmeet Singh","Dallas Xforia Giants","2","2","0","59","3","4","0","0","40","218.52","29.50"
"129","Manoj Acharya","Manhattan Yorkers","7","6","2","59","2","4","0","0","20","93.65","14.75"
"130","Imran Khan Jr","Lone Star Athletics","6","4","1","58","4","4","0","0","43","156.76","19.33"
"131","Kevin Stoute","Ft. Lauderdale Lions","2","2","0","58","2","5","1","0","58","131.82","29.00"
"132","Faisal Khan Ahmadzai","Silicon Valley Strikers","8","5","3","58","2","3","0","0","40","128.89","29.00"
"133","Shatrughan Rambhran","Lone Star Athletics","6","5","0","58","4","3","0","0","28","126.09","11.60"
"134","Ryan Wiggins","Morrisville Raptors","5","5","1","58","0","5","0","0","24","123.40","14.50"
"135","Suraj Kumar","Los Angeles Lashings","4","4","0","58","5","1","0","0","36","116.00","14.50"
"136","Saiteja Mukkamalla","New Jersey Stallions","3","3","0","58","3","2","0","0","32","96.67","19.33"
"137","Rishi Shimpi","New Jersey Somerset Cavaliers","5","4","2","58","1","2","0","0","35","84.06","29.00"
"138","Raj Bhavsar","Manhattan Yorkers","6","6","1","58","6","1","0","0","21","75.32","11.60"
"139","Nikhil Kanchan","Michigan Cricket Stars","6","6","1","56","4","3","0","0","30","105.66","11.20"
"140","Angad Singh","St. Louis Americans","5","4","1","56","2","1","0","0","28","86.15","18.67"
"141","Siddarth Kappa","Manhattan Yorkers","6","6","0","56","6","0","0","0","22","84.85","9.33"
"142","Hammad Azam","Chicago Kingsmen","7","6","2","55","3","3","0","0","17","110.00","13.75"
"143","Benjamin Fredeman Calitz","Atlanta Fire","5","4","0","55","4","2","0","0","28","87.30","13.75"
"144","Rishab Mohan","Seattle Thunderbolts","7","6","5","54","6","1","0","0","24","142.11","54.00"
"145","Md Shaif Uddin","Atlanta Fire","5","5","1","54","3","4","0","0","32","138.46","13.50"
"146","Deveshwari Prashad","The Philadelphians","8","5","2","54","2","4","0","0","27","96.43","18.00"
"147","Ryan Shun","NYC Titans","5","5","0","54","7","2","0","0","21","78.26","10.80"
"148","Sagar Patel","Atlanta Lightning","6","6","0","54","2","0","0","0","28","53.47","9.00"
"149","Nithin Kumar Kanduri","Silicon Valley Strikers","7","3","0","53","5","4","1","0","53","212.00","17.67"
"150","Stephen Wiig","New Jersey Stallions","6","5","2","53","3","4","0","0","27","170.97","17.67"
"151","Saad Humayun","Michigan Cricket Stars","5","4","1","53","4","2","0","0","28","106.00","17.67"
"152","Joshua Kind","St. Louis Americans","3","2","0","53","2","3","0","0","40","101.92","26.50"
"153","Yasir Mohammad","Manhattan Yorkers","4","4","0","53","4","3","0","0","25","96.36","13.25"
"154","Chad Breetzke","San Diego Surf Riders","2","2","0","51","1","2","0","0","34","89.47","25.50"
"155","Ashish Vattem","The Philadelphians","6","6","1","51","4","3","0","0","27","79.69","10.20"
"156","Raunaq Sharma","Baltimore Royals","4","4","2","50","2","3","0","0","35","96.15","25.00"
"157","Ravi Inder Singh Mehra","Baltimore Royals","4","3","0","50","1","3","0","0","49","90.91","16.67"
"158","Kiran Kumar Reddy Vade","Michigan Cricket Stars","1","1","1","49","3","4","0","0","49","175.00","--"
"159","Junaid Nadir Mahsood","New Jersey Somerset Cavaliers","6","3","3","49","0","6","0","0","25","148.48","--"
"160","Shuaib Syed","Orlando Galaxy","3","3","0","49","2","5","0","0","41","132.43","16.33"
